SourceContentId,RecommendedContentId,Rank
-9192549002213406534,5847042211895226591,1
-9192549002213406534,-790959521412948853,2
-9192549002213406534,3779434447835779494,3
-9192549002213406534,3495098006178009360,4
-9192549002213406534,5217724704513784613,5
-9189659052158407108,-6074646493203713780,1
-9189659052158407108,8657408509986329668,2
-9189659052158407108,4277778562135834208,3
-9189659052158407108,2417383163258637695,4
-9189659052158407108,428486625959995206,5
-9176143510534135851,-6340141548068597572,1
-9176143510534135851,-4233177915193302509,2
-9176143510534135851,3269302169678465882,3
-9176143510534135851,-3750879736572068916,4
-9176143510534135851,-8800029253812071912,5
-9160910454530522563,8690601908689146128,1
-9160910454530522563,-2808969983997441543,2
-9160910454530522563,-3581194288660477595,3
-9160910454530522563,8712996026808754180,4
-9160910454530522563,3382511589554885024,5
-9128741757954228992,-8369610219380465981,1
-9128741757954228992,-2554512494756911972,2
-9128741757954228992,5018472516978866574,3
-9128741757954228992,5092635400707338872,4
-9128741757954228992,6519443272707698315,5
-9086955082453789880,-5154395767417065070,1
-9086955082453789880,-6727357771678896471,2
-9086955082453789880,-447851796385928420,3
-9086955082453789880,7823781477664935857,4
-9086955082453789880,8559816910657872807,5
-9033211547111606164,5258604889412591249,1
-9033211547111606164,1549650080907932816,2
-9033211547111606164,-4944551138301474550,3
-9033211547111606164,-5363263367015469934,4
-9033211547111606164,-1403735753867098241,5
-9028990334396397584,3906974906788964502,1
-9028990334396397584,5484061377044071389,2
-9028990334396397584,-2479936301516183562,3
-9028990334396397584,3205047378909988692,4
-9028990334396397584,-969155230116728853,5
-9019582414165805420,-6820241302436968068,1
-9019582414165805420,3180828616327439381,2
-9019582414165805420,-8813724423497152538,3
-9019582414165805420,-8370744479086515302,4
-9019582414165805420,-8900113512825364282,5
-9019233957195913605,-6074646493203713780,1
-9019233957195913605,-5148591903395022444,2
-9019233957195913605,-4974757204495953627,3
-9019233957195913605,-1492574794514500033,4
-9019233957195913605,7814856426770804213,5
-8992803137960175254,-5952729859839521828,1
-8992803137960175254,-4133169317019898816,2
-8992803137960175254,-4509487968959834430,3
-8992803137960175254,-7264217791213422584,4
-8992803137960175254,7088167897470452815,5
-8992201526199201450,-2034054811536485879,1
-8992201526199201450,8912004903894879756,2
-8992201526199201450,3818189513627822856,3
-8992201526199201450,8589361101754366293,4
-8992201526199201450,428486625959995206,5
-8964534883296838326,-486686184692655504,1
-8964534883296838326,-5778988730475305016,2
-8964534883296838326,-6523871595334455509,3
-8964534883296838326,8559816910657872807,4
-8964534883296838326,-4338308747999225618,5
-8954346068661072425,1031060816592502094,1
-8954346068661072425,3495098006178009360,2
-8954346068661072425,1567984561327445971,3
-8954346068661072425,-1878128207048892154,4
-8954346068661072425,-8508606815368130888,5
-8950763842769120954,-3040610224044779845,1
-8950763842769120954,1649752043999819668,2
-8950763842769120954,2633209697262372913,3
-8950763842769120954,-5039153034159656707,4
-8950763842769120954,-7623502978685822577,5
-8949113594875411859,-447851796385928420,1
-8949113594875411859,7734121175534200554,2
-8949113594875411859,6615662748793536194,3
-8949113594875411859,7506614456429888492,4
-8949113594875411859,3739926497176994524,5
-8948234514303933700,-3348652277274905234,1
-8948234514303933700,911037455259135591,2
-8948234514303933700,4045164454094417310,3
-8948234514303933700,1577045425286888616,4
-8948234514303933700,3716124214746295857,5
-8900113512825364282,2916072977192006313,1
-8900113512825364282,2625883933130361261,2
