SourceContentId,RecommendedContentId,Rank
-4110354420726924665,8084284001249507595,1
-4110354420726924665,8734156751308150579,2
-4110354420726924665,5274322067107287523,3
-4110354420726924665,4156291407717900798,4
-4110354420726924665,7372398343609401828,5
-7292285110016212249,-724699218170106849,1
-7292285110016212249,-7986975759046428357,2
-7292285110016212249,7372398343609401828,3
-7292285110016212249,-6195775145989617417,4
-7292285110016212249,-2489051066377567114,5
-6151852268067518688,8298709454703868984,1
-6151852268067518688,1929674614667189969,2
-6151852268067518688,2765063319512128208,3
-6151852268067518688,-4487024160266973763,4
-6151852268067518688,4375556914674736641,5
2448026894306402386,-8473322535064919980,1
2448026894306402386,2731915238980099593,2
2448026894306402386,4119190424078847945,3
2448026894306402386,-1342820011354825290,4
2448026894306402386,8605423472891112686,5
-2826566343807132236,6999813113145211708,1
-2826566343807132236,-6566328419164841526,2
-2826566343807132236,2760023027553835473,3
-2826566343807132236,3473173479782472081,4
-2826566343807132236,8605423472891112686,5
-2148899391355011268,-692972306229904743,1
-2148899391355011268,7372398343609401828,2
-2148899391355011268,834896074125772354,3
-2148899391355011268,607684800821303652,4
-2148899391355011268,6015995473246774717,5
4119190424078847945,2731915238980099593,1
4119190424078847945,2072448887839540892,2
4119190424078847945,2448026894306402386,3
4119190424078847945,-667193404227875686,4
4119190424078847945,-2896441888220202695,5
-7926018713416777892,8084284001249507595,1
-7926018713416777892,7372398343609401828,2
-7926018713416777892,-1868297195590431285,3
-7926018713416777892,8734156751308150579,4
-7926018713416777892,4428409432282393251,5
3353902017498793780,5206308811707978799,1
3353902017498793780,8748370453256790422,2
3353902017498793780,6042459843569845586,3
3353902017498793780,-2430153190648595765,4
3353902017498793780,2793899372921426050,5
-9157338616628196758,2601622077116449484,1
-9157338616628196758,6352416307575007029,2
-9157338616628196758,-4762897581600184489,3
-9157338616628196758,6201946560186605500,4
-9157338616628196758,374674704202038318,5
1805789466376069146,-2081760549863309770,1
1805789466376069146,5199666313044493096,2
1805789466376069146,8233465999590288609,3
1805789466376069146,787067277772219433,4
1805789466376069146,-8858741052589364245,5
-2081760549863309770,1805789466376069146,1
-2081760549863309770,5199666313044493096,2
-2081760549863309770,787067277772219433,3
-2081760549863309770,-3468529816757552062,4
-2081760549863309770,-1852324383183073754,5
-5170198873410718233,8801504303517439478,1
-5170198873410718233,2639926854188906104,2
-5170198873410718233,-2423593292146522678,3
-5170198873410718233,1146823593746606655,4
-5170198873410718233,6831941111848480366,5
-3367778232969996503,-8427763028519233712,1
-3367778232969996503,5338677278233757627,2
-3367778232969996503,-8239286201029609369,3
-3367778232969996503,8316918063034631031,4
-3367778232969996503,-3718969219417182449,5
4988225165850707692,-5973686110278905367,1
4988225165850707692,6352416307575007029,2
4988225165850707692,-7215110246375999491,3
4988225165850707692,-5322047011520469406,4
4988225165850707692,5018472516978866574,5
-5917314377186856799,6157037646878010131,1
-5917314377186856799,-1669098707776725430,2
-5917314377186856799,-5636731245639685654,3
-5917314377186856799,2864534935028964135,4
-5917314377186856799,-8026099268928087567,5
6157037646878010131,-5917314377186856799,1
6157037646878010131,-5636731245639685654,2
6157037646878010131,9191014301634017491,3
6157037646878010131,-5794047401651735687,4
6157037646878010131,1642787330067525131,5
6023609667389715259,7372398343609401828,1
6023609667389715259,8084284001249507595,2
6023609667389715259,5274322067107287523,3
6023609667389715259,5680566822246004912,4
6023609667389715259,-1868297195590431285,5
7905485530310717815,-8706427875719844202,1
7905485530310717815,2760023027553835473,2
7905485530310717815,8550670510357310628,3
7905485530310717815,-7358932766266901263,4
7905485530310717815,3473173479782472081,5
8194079557551008273,4463025528374352465,1
8194079557551008273,-1060990524105135617,2
8194079557551008273,-2144625344076628986,3
8194079557551008273,7372398343609401828,4
8194079557551008273,5508043659570633487,5
-1672166631728511207,5847540986736720765,1
-1672166631728511207,3562616807243819955,2
-1672166631728511207,-3258959365023720872,3
-1672166631728511207,-2211174111335280246,4
-1672166631728511207,7372398343609401828,5
-4374331682165863764,8640945691036622521,1
-4374331682165863764,4189221198175710203,2
-4374331682165863764,8801106199759296338,3
-4374331682165863764,-3792933059425955471,4
-4374331682165863764,-541666025693385823,5
5714314286511882372,8856169137131817223,1
5714314286511882372,6230272013326185698,2
5714314286511882372,-788035419968530567,3
5714314286511882372,-6810702648836067504,4
5714314286511882372,-5833012379380837354,5
-8141818108252244664,-7627738093477170171,1
-8141818108252244664,-435798809553722526,2
-8141818108252244664,880612740433495828,3
-8141818108252244664,-556674612043273194,4
-8141818108252244664,-721732705314803549,5
-8939172344092554931,8545647269051113523,1
-8939172344092554931,-4844663695104994694,2
-8939172344092554931,-3820497466351868775,3
-8939172344092554931,3750772607644674028,4
-8939172344092554931,2947843229055216994,5
-1591454024897803197,-5608160619992456731,1
-1591454024897803197,3703141283586666995,2
-1591454024897803197,1146823593746606655,3
-1591454024897803197,3915768615016750361,4
-1591454024897803197,163780025692404854,5
-6874540813378776198,-5823398424129440733,1
-6874540813378776198,-4070929606295451361,2
-6874540813378776198,-7499831854130267106,3
-6874540813378776198,-4110354420726924665,4
-6874540813378776198,-5613218615976195909,5
-3173020603774823976,5619251370090681244,1
-3173020603774823976,4195778828921942020,2
-3173020603774823976,9042192299854648021,3
-3173020603774823976,2809702925357288303,4
-3173020603774823976,-1254906787526072320,5
-9107331682787867601,-605114438206384896,1
-9107331682787867601,-2402157201203242566,2
-9107331682787867601,-8618420761918493321,3
-9107331682787867601,201515581783532281,4
-9107331682787867601,7993526700719577624,5
-1021685224930603833,4717008760225392411,1
-1021685224930603833,-8531951303518498324,2
-1021685224930603833,6943483335823457240,3
-1021685224930603833,-8099709040471107382,4
-1021685224930603833,-1861959619649725543,5
1392715980907132808,7372398343609401828,1
1392715980907132808,-2388274433047018803,2
1392715980907132808,8084284001249507595,3
1392715980907132808,2424381466524517235,4
1392715980907132808,-7926018713416777892,5
-6142462826726347616,7578709204835512162,1
-6142462826726347616,1734266821019430183,2
-6142462826726347616,8416004328454490172,3
-6142462826726347616,-4218676349553328084,4
-6142462826726347616,-6858240061363309239,5
2255603060224026824,-5658245291907121574,1
2255603060224026824,7372398343609401828,2
2255603060224026824,-7977868424702448788,3
2255603060224026824,8084284001249507595,4
2255603060224026824,-7926018713416777892,5
3037840448416371691,-2896441888220202695,1
3037840448416371691,-23817016428727099,2
3037840448416371691,2072448887839540892,3
3037840448416371691,7372398343609401828,4
3037840448416371691,-667193404227875686,5
7767869406844505704,5338677278233757627,1
7767869406844505704,541470630329465127,2
7767869406844505704,-5715266554592745669,3
7767869406844505704,-8222568914848295086,4
7767869406844505704,-307396946333196366,5
-7202774608580336956,2093656054622337275,1
-7202774608580336956,4463025528374352465,2
-7202774608580336956,-1492913151930215984,3
-7202774608580336956,-2181071289972835602,4
-7202774608580336956,-6394075099886393346,5
5822211783543822544,7851022564818849560,1
5822211783543822544,6463551093741815202,2
5822211783543822544,764116021156146784,3
5822211783543822544,-8464215556093549753,4
5822211783543822544,-3499919498720038879,5
6152652267138213180,-5515204090203464377,1
6152652267138213180,-486686184692655504,2
