ContentId,Title
5714055337338770799,"""""Good Luck with That!"": Teaching Machines to Detect Sarcasm"" by Xinyi Ou"
-2405892683303291957,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
7734121175534200554,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
6953968734027801757,"""Disrupção não depende da tecnologia, depende das pessoas"": as lições do cofundador do Waze - Startupi"
2417383163258637695,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise"
-6157984812065160219,"""Empresas inovadoras não fazem produtos - constroem conceitos que se tornam experiências irresistíveis"""
3455160158461205368,"""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living"
2505379943041571189,"""Logout"" is not a verb"
-5799839529845993396,"""Não, você não aceita a homossexualidade ainda..."""
8326017498198914888,"""Strut"", reality de modelos trans produzido por Whoopi Goldberg, ganha primeiro trailer"
-5826278791285476287,"""We only hire the best"" - Signal v. Noise"
8611448623643424872,"""We will encourage you to develop the three great virtues of a programmer: laziness, impatience, and hubris"""
-5676280017759875198,"""create-react-app"" and the future of creating React applications"
-6479058008972757948,#188. Profissão: Gerente de Projetos by brains9
-5193720747719231594,#FinTech is all about human-centred design - Chris Skinner's blog
-4278025512576376201,#Sentaquelávemtextão
6643427232964983922,#iLookLikeAnEngineer: One Year Later
5589105207760786822,'Hyper-Reality' Is a Psychedelic Glimpse of Our Future on Digital Overload
-7051470020148066326,'Machine learning' is a revolution as big as the internet or personal computers
-1081723567492738167,'Magenta' Is Google's New Project To Make Art With Artificial Intelligence
8743240285401859304,'Robô-rancheiro' conseguirá cuidar sozinho de fazendas de gado
2715453133655798791,'The Simpsons' celebrates 600 episodes with a VR couch gag
8947914348334479785,'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!
5447580952505296338,"'Uber do ônibus' derruba custo e acaba com engarrafamento, aponta estudo"
2645380860642118790,'We've realized a ten-year strategy goal in one year'
3365858042237188987,/dev/random - a new approach
-2400879112398974660,0. The case for Drupal and Commerce
-6126634320182965455,"020 - Carine Roos: 33 dias sem machismo, MariaLab, Upwit e os desafios das mulheres na tecnologia"
3548262914600772288,1% das empresas dominam 94% das receitas na App Store
7203367456821804602,1. Why ecommerce matters
6472331784294749716,10 Breakthrough Technologies 2016: DNA App Store
-33740349536513960,10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek
2581138407738454418,10 Modern Software Over-Engineering Mistakes
18930987176089166,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better
-6765871608738223618,10 Simple Habits of Insanely Productive People
-398780385766545248,10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool
